date,total screen time,screen after 22,screen after 23,unlocks,notifications,sleep time,wake time,sleep duration
3/11/2026,345,15,0,110,187,10:43:,11:00: ,13.43
3/12/2026,183,42,18,64,183,1:10: ,8:30: ,7.2
3/13/2026,145,15,0,72,152,0:50: ,8:10: ,7.2
3/14/2026,322,22,0,72,183,1:40: ,10:30: ,8.5
3/15/2026,172,18,4,96,263,1:40: ,9:00: ,7.2
3/16/2026,273,48,32,84,202,1:55: ,9:30: ,7.35
3/17/2026,256,13,13,114,231,0:45: ,8:00: ,8.15
3/18/2026,250,37,16,122,224,1:30: ,9:15: ,7.45
3/19/2026,92,1,0,66,140,0:20: ,7:30: ,7.1
3/20/2026,207,38,10,76,166,1:15: ,8:45: ,7.3
3/21/2026,233,10,2,88,152,1:00: ,9:30: ,8.3
3/22/2026,219,47,39,57,153,2:10: ,10:15: ,8.05
3/23/2026,186,13,8,55,160,1:25: ,8:50: ,7.25
3/24/2026,177,0,0,122,229,0:30: ,8:10: ,7.4
3/25/2026,468,9,5,103,266,2:20: ,10:45: ,8.25
3/26/2026,210,0,0,93,176,0:50: ,8:20: ,7.3
3/27/2026,448,58,40,102,285,2:05: ,10:30: ,8.25
3/28/2026,345,62,21,77,173,1:50: ,10:20: ,8.3
3/29/2026,323,33,1,128,231,2:10: ,10:45: ,8.35
3/30/2026,257,29,12,82,241,0:55: ,8:15: ,8.2
3/31/2026,260,15,10,95,280,1:20: ,8:50: ,7.3
4/1/2026,312,52,26,121,379,0:45: ,8:10: ,7.25
4/2/2026,229,8,1,70,265,1:35: ,9:00: ,7.25
4/3/2026,340,106,42,63,241,1:50: ,9:20: ,7.3
4/4/2026,190,2,1,78,214,2:15: ,10:30: ,8.15
4/5/2026,192,13,6,113,195,2:05: ,10:10: ,8.05
4/6/2026,351,10,0,93,224,0:50: ,8:00: ,7.1
4/7/2026,141,0,0,72,204,1:25: ,8:40: ,7.15
4/8/2026,185,19,6,75,175,1:40: ,9:10: ,7.3
4/9/2026,392,8,4,98,260,0:35: ,8:05: ,7.3
4/10/2026,214,42,12,64,217,1:55: ,9:30: ,7.35
4/11/2026,264,9,3,102,230,2:20: ,10:50: ,8.3
4/12/2026,365,56,26,92,258,2:10: ,10:30: ,8.2
4/13/2026,240,27,20,126,243,1:10: ,8:30: ,7.2
